month,year,births
1,2000,101
2,2000,168
3,2000,271
4,2000,229
5,2000,287
6,2000,183
7,2000,142
8,2000,238
9,2000,264
10,2000,263
11,2000,108
12,2000,152
1,2001,291
2,2001,64
3,2001,289
4,2001,75
5,2001,141
6,2001,112
7,2001,285
8,2001,162
9,2001,96
10,2001,148
11,2001,69
12,2001,286
1,2002,274
2,2002,152
3,2002,248
4,2002,289
5,2002,112
6,2002,257
7,2002,125
8,2002,86
9,2002,123
10,2002,274
11,2002,131
12,2002,175
1,2003,70
2,2003,71
3,2003,54
4,2003,214
5,2003,258
6,2003,103
7,2003,194
8,2003,97
9,2003,104
10,2003,235
11,2003,152
12,2003,142
1,2004,84
2,2004,285
3,2004,70
4,2004,261
5,2004,175
6,2004,199
7,2004,77
8,2004,202
9,2004,53
10,2004,157
11,2004,99
12,2004,58
1,2005,279
2,2005,242
3,2005,258
4,2005,115
5,2005,125
6,2005,204
7,2005,235
8,2005,158
9,2005,225
10,2005,224
11,2005,230
12,2005,269
1,2006,299
2,2006,201
3,2006,196
4,2006,299
5,2006,70
6,2006,136
7,2006,193
8,2006,243
9,2006,174
10,2006,62
11,2006,175
12,2006,134
